word	score
almost	-0.3
barely	-0.3
hardly	-0.3
kinda	-0.3
kindof	-0.3
kind-of	-0.3
less	-0.3
little	-0.3
marginal	-0.3
marginally	-0.3
occasional	-0.3
occasionally	-0.3
partly	-0.3
scarce	-0.3
scarcely	-0.3
slight	-0.3
slightly	-0.3
somewhat	-0.3
sorta	-0.3
sortof	-0.3
sort-of	-0.3
